x_fit,y_fit
4.058002896243422253e-01,1.618833760180226899e-01
3.885359938390243739e-01,1.521656034023282089e-01
3.706425929222587623e-01,1.436616503682872081e-01
3.522052993083288341e-01,1.364120146693692526e-01
3.333119155719241888e-01,1.304512207153525338e-01
3.140524162923614138e-01,1.258076551592520187e-01
2.945185195742268669e-01,1.225034317136387552e-01
2.748032502649568332e-01,1.205542858401237316e-01
2.550004969494107376e-01,1.199694998135203972e-01
2.352045648311315296e-01,1.207518585175461623e-01
2.155097266295735170e-01,1.228976361825743213e-01
1.960097736320261519e-01,1.263966141285944866e-01
1.767975690382284082e-01,1.312321294288844586e-01
1.579646057247441338e-01,1.373811542626476867e-01
1.396005705351296700e-01,1.448144055787196072e-01
1.217929171708392322e-01,1.534964845481000539e-01
1.046264497168593599e-01,1.633860451412074144e-01
8.818291878541933970e-02,1.744359910270503744e-01
7.254063220102932585e-02,1.865936998566405103e-01
5.777408208085671459e-02,1.998012738625551399e-01
4.395359008636537390e-02,2.139958155812403118e-01
3.114497253561196444e-02,2.291097273849995453e-01
1.940922697100769256e-02,2.450710333972327959e-01
8.802241675185035197e-03,2.618037222578877277e-01
-6.254704816827660885e-04,2.792281091067994603e-01
-8.829012595628404902e-03,2.972612150610717818e-01
-1.576931753813165527e-02,3.158171623793400440e-01
-2.141333400264822107e-02,3.348075834310584309e-01
-2.573418390242904197e-02,3.541420415232017227e-01
-2.871129037006664442e-02,3.737284615803138088e-01
-3.033047574920544331e-02,3.934735686269029697e-01
-3.058402911175789329e-02,4.132833319840362729e-01
-2.947074297909285656e-02,4.330634130647623703e-01
-2.699591907232312682e-02,4.527196146358636319e-01
-2.317134306430640445e-02,4.721583294064495284e-01
-1.801522845359798675e-02,4.912869858071098328e-01
-1.155212982763864638e-02,5.100144888367292850e-01
-3.812825928239005346e-03,5.282516538775468007e-01
5.165826923770933110e-03,5.459116314125375125e-01
1.534107034670273428e-02,5.629103206225141154e-01
2.666444752312227551e-02,5.791667698933058439e-01
3.908203396220752412e-02,5.946035623257098779e-01
5.253469430040616506e-02,6.091471844123270696e-01
6.695836391745202398e-02,6.227283761255605343e-01
8.228435402661907205e-02,6.352824607495781706e-01
9.843967878630685564e-02,6.467496528855066762e-01
1.153474028751744762e-01,6.570753431630623753e-01
1.329270078755936946e-01,6.662103583027607634e-01
1.510947757206194952e-01,6.741111952902284488e-01
1.697641873784154209e-01,6.807402285474262182e-01
1.888463348755114457e-01,6.860658891141874216e-01
2.082503446967413907e-01,6.900628149867669148e-01
2.278838105455373020e-01,6.927119718974568130e-01
2.476532334036752048e-01,6.940007439600872630e-01
2.674644667948115062e-01,6.939229937497382039e-01
2.872231651313594258e-01,6.924790915305487626e-01
3.068352330095798219e-01,6.896759134924359547e-01
3.262072733132394542e-01,6.855268090051183094e-01
3.452470319918645725e-01,6.800515370453885655e-01
3.638638373954586891e-01,6.732761721003845956e-01
3.819690320734678846e-01,6.652329799949658895e-01
3.994763949816720894e-01,6.559602642345363499e-01
4.163025520863576356e-01,6.455021835950627285e-01
4.323673734103778976e-01,6.339085418289658325e-01
4.475943546302835752e-01,6.212345504883532987e-01
4.619109814072650533e-01,6.075405659950836590e-01
4.752490747168832130e-01,5.928918022097947604e-01
4.875451155330519648e-01,5.773580198687033871e-01
4.987405473200475781e-01,5.610131943671563537e-01
5.087820548920165553e-01,5.439351634720162032e-01
5.176218183119858374e-01,5.262052566405558407e-01
5.252177406212487076e-01,5.079079077111366969e-01
5.315336483146340107e-01,4.891302528101132974e-01
5.365394636069420464e-01,4.699617153898355548e-01
5.402113476701815298e-01,4.504935803738819855e-01
5.425318141594768218e-01,4.308185594375436578e-01
5.434898124870077840e-01,4.110303494937988522e-01
5.430807804474168110e-01,3.912231864873539355e-01
5.413066659440655126e-01,3.714913966217008312e-01
5.381759177126765881e-01,3.519289471563366578e-01
5.337034450865382196e-01,3.326289989133559555e-01
5.279105469948763840e-01,3.136834626244858204e-01
5.208248105325223865e-01,2.951825612313277447e-01
5.124799795839093397e-01,2.772144002232456161e-01
5.029157941270394616e-01,2.598645480590376922e-01
4.921778009826934253e-01,2.432156286705227377e-01
4.803171369101386645e-01,2.273469279886369820e-01
4.673902850822797550e-01,2.123340163658413438e-01
4.534588060999774628e-01,1.982483886929628514e-01
4.385890448265016839e-01,1.851571239243046119e-01
4.228518144382412691e-01,1.731225656324475726e-01
4.063220591962959372e-01,1.622020251140174341e-01
3.890784975449033123e-01,1.524475084602876507e-01
3.712032472363480662e-01,1.439054688923747660e-01
3.527814342676008907e-01,1.366165855404633533e-01
3.339007874910062124e-01,1.306155697205578226e-01
3.146512208295891289e-01,1.259309996313232038e-01
2.951244050865557966e-01,1.225851842582192375e-01
2.754133313881316214e-01,1.205940571330506028e-01
2.556118683387263446e-01,1.199671004548746311e-01
2.358143149973419561e-01,1.207072999336178953e-01
2.161149518040654249e-01,1.228111305714483792e-01
1.966075915952237851e-01,1.262685734496147849e-01
1.773851328453754927e-01,1.310631634408104262e-01
1.585391172637031776e-01,1.371720676198441846e-01
1.401592938516232623e-01,1.445661939992112233e-01
1.223331914976878709e-01,1.532103300717352901e-01
1.051457021451575879e-01,1.630633105005167560e-01
8.867867651731098366e-02,1.740782131576052716e-01
7.301053432573245683e-02,1.862025825778171884e-01
5.821589081785705222e-02,1.993786797635596353e-01
4.436520144223238260e-02,2.135437571510379884e-01
3.152442632369478748e-02,2.286303574283846951e-01
1.975471614628845907e-02,2.445666347826839504e-01
9.112120939836848565e-03,2.612766970460300708e-01
-3.526768430138216281e-04,2.786809671112467912e-01
-8.594603688133251040e-03,2.966965618961266427e-01
-1.557440967020357059e-02,3.152376870514657647e-01
-2.125885536976906964e-02,3.342160455332202629e-01
-2.562087016689201802e-02,3.535412580930596405e-01
-2.863968115758541710e-02,3.731212936848485318e-01
-3.030091207909463291e-02,3.928629077373700373e-01
-3.059665177292097971e-02,4.126720862061200035e-01
-2.952549185955399835e-02,4.324544932895182936e-01
-2.709253344549361620e-02,4.521159206773949224e-01
-2.330936283062456926e-02,4.715627361923331873e-01
-1.819399633162660512e-02,4.907023296873430085e-01
-1.177079448418899554e-02,5.094435540763835313e-01
-4.070346032612526255e-03,5.276971593974675301e-01
4.870677740729800753e-03,5.453762178412256967e-01
1.500969765235751763e-02,5.623965377208539618e-01
2.629842938941595598e-02,5.786770644120278195e-01
3.868311345052408146e-02,5.941402663534054440e-01
5.210477116071740578e-02,6.087125042695149535e-01
6.649948554127699252e-02,6.223243818576879027e-01
8.179870569688105220e-02,6.349110762689942344e-01
9.792957327052220773e-02,6.464126468093571720e-01
1.148152694115268102e-01,6.567743203907316918e-01
1.323753806043513892e-01,6.659467523729776239e-01
1.505262816159846362e-01,6.738862615542295931e-01
1.691815337382764350e-01,6.805550381906884105e-01
1.882522964286785783e-01,6.859213240552000102e-01
2.076477503890560850e-01,6.899595636771355123e-01
2.272755300677910539e-01,6.926505260433404310e-01
2.470421635254916870e-01,6.939813961805820774e-01
2.668535175695707640e-01,6.939458361833592548e-01
2.866152460378669775e-01,6.925440153964455003e-01
3.062332390964653261e-01,6.897826096084309633e-01
3.256140714120791535e-01,6.856747692601030675e-01
3.446654470646799417e-01,6.802400568190640762e-01
3.632966390816045887e-01,6.735043536188232149e-01
3.814189214999846866e-01,6.654997366060134700e-01
3.989459918999033183e-01,6.562643255826974276e-01
4.157943823961003371e-01,6.458421016712210250e-01
4.318838571309756569e-01,6.342826978661322279e-01
4.471377943759444751e-01,6.216411626706013216e-01
4.614835514214901124e-01,6.079776979429625250e-01
4.748528105182281966e-01,5.933573722018041785e-01
4.871819042215230211e-01,5.778498107549271401e-01
4.984121185903047646e-01,5.615288641278315396e-01
5.084899727961751381e-01,5.444722563707624641e-01
5.173674738112443716e-01,5.267612149191509552e-01
5.250023449618184124e-01,5.084800837701377585e-01
5.313582272595074318e-01,4.897159218173294803e-01
5.364048525509779175e-01,4.705580882565956191e-01
5.401181876617651145e-01,4.510978170373065588e-01
5.424805488477011384e-01,4.314277823855721117e-01
5.434806860089171909e-01,4.116416574685489160e-01
5.431138362653704643e-01,3.918336683015750666e-01
5.413817466387593758e-01,3.720981450225059883e-01
