time,x,y,yaw,reward,yaw_rate,turn_radius
3.679999999999705729e+00,6.510126645482465779e-01,2.200726261280462337e-01,1.414829196037937997e+00,-5.536944618715613498e-01,3.858794844036552568e-02,inf
3.699999999999703526e+00,6.554991183493670270e-01,2.219814836151837723e-01,1.423579997472123049e+00,-6.164927612998063466e-01,-1.374396774983863319e-02,inf
3.719999999999701323e+00,6.601501332446497727e-01,2.233325199852188581e-01,1.438293859774583350e+00,-4.866522159855877216e-01,9.445648667867687087e-02,inf
3.739999999999699121e+00,6.648701374074188486e-01,2.241638654386270968e-01,1.458862763828428832e+00,-5.166877372091441822e-01,6.942688565904656106e-02,inf
3.759999999999696918e+00,6.695602180193405140e-01,2.245301048474356298e-01,1.484916597142785566e+00,-3.660324713573765432e-01,1.949729405355195566e-01,inf
3.779999999999694715e+00,6.741594548594795899e-01,2.244891736356519063e-01,1.515910665572786087e+00,-3.662332791806682253e-01,1.948056006827764697e-01,inf
3.799999999999692513e+00,6.786753391053754747e-01,2.240776598426764687e-01,1.550849966721258077e+00,-2.213605616685706545e-01,3.155328652761911212e-01,inf
3.819999999999690310e+00,6.832058084677703480e-01,2.232946244921826251e-01,1.587116804867232833e+00,-2.275544377379895289e-01,3.103713018850087213e-01,inf
3.839999999999688107e+00,6.878057710427166738e-01,2.220602030803398019e-01,1.622610805751711682e+00,-9.874963977011631810e-02,4.177086335249030613e-01,inf
3.859999999999685905e+00,6.923366872778700110e-01,2.204036536962385995e-01,1.657679827629235492e+00,-1.034918733218983949e-01,4.137567722317513352e-01,inf
3.879999999999683702e+00,6.966185946092654513e-01,2.184520780239612714e-01,1.693104775964135111e+00,-1.272991852484124317e-02,5.106082654373677032e-01,inf
3.899999999999681499e+00,7.005257705761545051e-01,2.162828596506805034e-01,1.729328869712544625e+00,-3.134741042014699362e-03,5.026122842016789161e-01,inf
3.919999999999679297e+00,7.039935690690536374e-01,2.139045549307947436e-01,1.766124363480704895e+00,-1.371641420291350999e-01,6.143034516909459120e-01,inf
3.939999999999677094e+00,7.069765111897293730e-01,2.113429927290697563e-01,1.803091311321265877e+00,-1.447501159480867050e-01,6.206250966234055921e-01,inf
3.959999999999674891e+00,7.095839805203412176e-01,2.091493738779440781e-01,1.832586632406608462e+00,-1.973607362480326588e-01,6.644672802066938777e-01,inf
3.979999999999672688e+00,7.117992257780603182e-01,2.071733138157125786e-01,1.860371157108243301e+00,-2.307879892127496502e-01,6.923233243439580464e-01,inf
3.999999999999670486e+00,7.132356838562344814e-01,2.084201298085693876e-01,1.846494744788569564e+00,-3.511192277558108227e-02,5.292599356463175697e-01,inf
4.019999999999677165e+00,7.142292052101832933e-01,2.096728178326389136e-01,1.826448091281917652e+00,-8.393027452928492407e-03,4.930058104558929233e-01,inf
4.039999999999683844e+00,7.148155010789986052e-01,2.117418676403410860e-01,1.802025121856523526e+00,-1.668449449094338566e-01,3.609625459088051103e-01,inf
4.059999999999690523e+00,7.154306676560179268e-01,2.127661092818937671e-01,1.793595886258058547e+00,-8.692702137340810320e-02,4.275608155221599094e-01,inf
4.079999999999697202e+00,7.157481119339088593e-01,2.143750929697372243e-01,1.784973926592578142e+00,-1.413285406044743342e-01,3.822262161629380595e-01,inf
4.099999999999703881e+00,7.161440530532908744e-01,2.151617827506039360e-01,1.784631214293526114e+00,-9.596115937982529001e-03,5.079967632816521084e-01,inf
4.119999999999710560e+00,7.162003284798075242e-01,2.165781425517598890e-01,1.780916842779832310e+00,-2.315142095232538416e-02,4.807071492063955120e-01,inf
4.139999999999717240e+00,7.160380217059507668e-01,2.174598900766239185e-01,1.779851075004320160e+00,-1.006117449233832895e-01,5.838431207694860792e-01,inf
4.159999999999723919e+00,7.153292368306846116e-01,2.190965380334352064e-01,1.774054049775079411e+00,-4.018387538320337959e-02,5.334865628193361520e-01,inf
4.179999999999730598e+00,7.142717973806069764e-01,2.203850547499522916e-01,1.770397884833456503e+00,-1.288507695402884290e-01,6.073756412835736862e-01,inf
4.199999999999737277e+00,7.121663165332118295e-01,2.221722341048595339e-01,1.767988198674037559e+00,-7.417035450737814728e-02,5.618086287561484538e-01,inf
4.219999999999743956e+00,7.095503183961263671e-01,2.235193224643582388e-01,1.772852864498247527e+00,-1.654460114888091637e-01,6.378716762406743124e-01,inf
4.239999999999750635e+00,7.057849631680394031e-01,2.254988309111570777e-01,1.777273825509269045e+00,-1.146493245583935783e-01,5.955411037986613199e-01,inf
4.259999999999757314e+00,7.018535508786170052e-01,2.272873850959518105e-01,1.784008694812705187e+00,-1.892574604140175032e-01,6.577145503450145814e-01,inf
4.279999999999763993e+00,6.965918257592662588e-01,2.292322789489829038e-01,1.792266087243830519e+00,-1.370403346883320717e-01,6.142002789069433977e-01,inf
4.299999999999770672e+00,6.911150285282626760e-01,2.307302777344401035e-01,1.805345451081341146e+00,-1.995755731270645594e-01,6.663129776058871467e-01,inf
4.319999999999777351e+00,6.849866118379925872e-01,2.333343829917033929e-01,1.810443727331533470e+00,-1.037497260134578464e-01,5.864581050112148697e-01,inf
4.339999999999784031e+00,6.796606624506749128e-01,2.361024303480104836e-01,1.813159504519714194e+00,-1.197137146119731516e-01,5.997614288433109619e-01,inf
4.359999999999790710e+00,6.722716418947718431e-01,2.366522259769369141e-01,1.826422944405015736e+00,-5.486672652766935027e-02,5.457222721063911264e-01,inf
4.379999999999797389e+00,6.632193775420625048e-01,2.363170462530049809e-01,1.840007918834019707e+00,-4.362097711306578418e-02,5.363508142608881535e-01,inf
4.399999999999804068e+00,6.553478092875097971e-01,2.362500089499509626e-01,1.866437406252880127e+00,-1.631564166794694307e-02,5.135963680566224543e-01,inf
4.419999999999810747e+00,6.499519519021162983e-01,2.381553079589828759e-01,1.897038653650259921e+00,-1.231491359424299360e-02,5.102624279952024944e-01,inf
4.439999999999817426e+00,6.465516714920859220e-01,2.419792058104019983e-01,1.926603043099547552e+00,-1.392808320841181120e-02,4.883932639929901565e-01,inf
4.459999999999824105e+00,6.430907167230160981e-01,2.474502470005593979e-01,1.937867827903339224e+00,-8.527807876786261398e-02,4.289349343601144837e-01,inf
4.479999999999830784e+00,6.390549590946960068e-01,2.538709497872118082e-01,1.926683757755154769e+00,-1.989492067205018977e-01,3.342089943995817380e-01,inf
4.499999999999837463e+00,6.351018989170597040e-01,2.605700770144929734e-01,1.899955305803700423e+00,-3.341358174238625023e-01,2.215534854801145814e-01,inf
4.519999999999844142e+00,6.321259990065789536e-01,2.671588679432232993e-01,1.868714144281043099e+00,-4.690984231510512137e-01,1.090846473741239886e-01,inf
4.539999999999850822e+00,6.306287262168771557e-01,2.735489259454189082e-01,1.841378763548774833e+00,-5.911005865174472351e-01,7.416177902127296835e-03,inf
4.559999999999857501e+00,6.305336987906741131e-01,2.797362883652614318e-01,1.821325700858520191e+00,-6.709974607003607039e-01,-5.916455058363392222e-02,inf
4.579999999999864180e+00,6.314563953431640009e-01,2.856509510692385456e-01,1.807860319504442259e+00,-7.582584260069018534e-01,-1.318820216724182481e-01,inf
4.599999999999870859e+00,6.330119636292531604e-01,2.911992896002663089e-01,1.798697323499100609e+00,-6.634817193804948277e-01,-5.290143281707902073e-02,inf
4.619999999999877538e+00,6.349624571293731590e-01,2.963247035249135797e-01,1.792086691532436493e+00,-7.036129962039942010e-01,-8.634416350332849155e-02,inf
4.639999999999884217e+00,6.372436213586394338e-01,3.010108604246299890e-01,1.787706535598966084e+00,-5.934848184901507784e-01,5.429317924874331978e-03,inf
4.659999999999890896e+00,6.398936790935518815e-01,3.052621845910469256e-01,1.786429482858346018e+00,-6.663574021236483569e-01,-5.529783510304028121e-02,inf
4.679999999999897575e+00,6.429589448353064673e-01,3.090833150837951626e-01,1.789555242425463710e+00,-5.548407127805266015e-01,3.763273934956112149e-02,inf
4.699999999999904254e+00,6.464391454876300402e-01,3.124630978308367002e-01,1.798124442587256011e+00,-6.195231751084115945e-01,-1.626931259034304633e-02,inf
4.719999999999910933e+00,6.502759651826079956e-01,3.153867809621818674e-01,1.812612784510652775e+00,-4.918065966148222334e-01,9.016116948764812955e-02,inf
4.739999999999917613e+00,6.543693950742390797e-01,3.178521978942193682e-01,1.832975177149109847e+00,-5.231831443411950611e-01,6.401404638233743061e-02,inf
4.759999999999924292e+00,6.586081080648462649e-01,3.198724695519414851e-01,1.858875247281702281e+00,-3.745185171074085217e-01,1.879012357438261949e-01,inf
4.779999999999930971e+00,6.629106004843341449e-01,3.214783560129796935e-01,1.889784463743825249e+00,-3.759205305225779004e-01,1.867328912311850830e-01,inf
4.799999999999937650e+00,6.672592352471976573e-01,3.227054290673556647e-01,1.924815194999989876e+00,-2.326185885385333718e-01,3.061511762178888429e-01,inf
