video_name,direction,command_type,command_value,command_unit,fps,frame_count,analyzed_frame_count,duration_s,analyzed_duration_s,max_seconds,px_per_m,detected_frame_count,detection_rate,representative_start_s,representative_end_s,fit_kind,measured_radius_m,measured_yaw_rate_rad_s,measured_yaw_rate_abs_rad_s,commanded_metric,commanded_value,measured_value,error,abs_error,percent_error,circle_rmse_m,arc_angle_deg,path_length_px,path_length_m,net_displacement_px,net_displacement_m,straight_speed_m_s,straight_speed_source,straight_tracked_net_speed_m_s,straight_tracked_path_speed_m_s,straight_fit_x_slope_px_s,straight_fit_y_slope_px_s,straight_measurement_start_s,straight_measurement_requested_start_s,straight_measurement_seconds,straight_measurement_end_s,straight_measurement_frame_count,straight_trim_last_seconds,metric_start_s,metric_end_s,turn_trim_last_seconds,turn_start_seconds
clean_v_20260702_201134_paper_ppo_turn_right_a20_r05_run04.mp4,right,turn_radius,0.5,m,30.0,918,918,30.6,30.566666666666666,,269.2105609870623,918,1.0,2.0,27.6,circle,0.5462061441629676,0.3074735540253837,0.3074735540253837,R_m,0.5,0.5462061441629676,0.046206144162967644,0.046206144162967644,9.241228832593528,0.025686394814929143,449.74803152746045,1731.3722028486452,6.431293766858765,324.63216970653633,1.20586714175057,,,,,,,,,,,,,2.0,27.6,3.0,2.0
clean_v_20260702_201310_paper80_ppo_turn_left_a20_y07_run02.mp4,left,yaw_rate,0.7,rad/s,30.0,1063,1063,35.43333333333333,35.4,,269.2105609870623,1063,1.0,2.0,32.43333333333333,circle,0.3336658519137695,-0.4888882993481356,0.4888882993481356,yaw_rate_abs_rad_s,0.7,0.4888882993481356,-0.21111170065186435,0.21111170065186435,-30.158814378837768,0.07208549419013198,823.7352267296814,2776.218317880538,10.312442081400949,228.36610050484327,0.848280615988977,,,,,,,,,,,,,2.0,32.43333333333333,3.0,2.0
clean_v_20260702_201455_paper80_ppo_turn_left_a20_y07_run02.mp4,left,yaw_rate,0.7,rad/s,30.0,955,955,31.833333333333332,31.8,,269.2105609870623,955,1.0,2.0,28.833333333333332,circle,0.29034024566335626,-0.5097974889663335,0.5097974889663335,yaw_rate_abs_rad_s,0.7,0.5097974889663335,-0.19020251103366648,0.19020251103366648,-27.17178729052378,0.023367162937911443,793.6755260576052,1758.042045151172,6.530360617002911,172.4880365932862,0.6407179419739615,,,,,,,,,,,,,2.0,28.833333333333332,3.0,2.0
clean_v_20260702_201628_paper80_ppo_turn_right_a20_y07_run07.mp4,right,yaw_rate,0.7,rad/s,30.0,1002,1002,33.4,33.36666666666667,,269.2105609870623,1002,1.0,2.0,30.4,circle,0.2875530706431949,0.4847002021420815,0.4847002021420815,yaw_rate_abs_rad_s,0.7,0.4847002021420815,-0.21529979785791847,0.21529979785791847,-30.75711397970264,0.02715071445203281,794.3736503286191,1710.5887514351448,6.354092295500072,209.6905489228853,0.7789090745699334,,,,,,,,,,,,,2.0,30.4,3.0,2.0
clean_v_20260702_201739_paper80_ppo_turn_right_a20_y07_run07.mp4,right,yaw_rate,0.7,rad/s,30.0,1027,1027,34.233333333333334,34.2,,269.2105609870623,1027,1.0,2.0,31.233333333333334,circle,0.2899453221736141,0.48769010494873627,0.48769010494873627,yaw_rate_abs_rad_s,0.7,0.48769010494873627,-0.2123098950512637,0.2123098950512637,-30.329985007323387,0.019653143362503962,821.4906552430334,1790.7007305599764,6.651673411304372,167.52677308642708,0.6222890085447951,,,,,,,,,,,,,2.0,31.233333333333334,3.0,2.0
clean_v_20260702_201856_paper_ppo_turn_left_a20_y05_run08.mp4,left,yaw_rate,0.5,rad/s,30.0,1064,1064,35.46666666666667,35.43333333333333,,269.2105609870623,1064,1.0,2.0,32.46666666666667,circle,0.5026111641589806,-0.3423159960953347,0.3423159960953347,yaw_rate_abs_rad_s,0.5,0.3423159960953347,-0.1576840039046653,0.1576840039046653,-31.53680078093306,0.04873423949454272,605.7234623240273,2170.4457957522636,8.062260959578666,31.446543531008984,0.1168102150811247,,,,,,,,,,,,,2.0,32.46666666666667,3.0,2.0
clean_v_20260702_202110_paper_ppo_turn_left_a20_y05_run08.mp4,left,yaw_rate,0.5,rad/s,30.0,1106,1106,36.86666666666667,36.833333333333336,,269.2105609870623,1106,1.0,2.0,33.86666666666667,circle,0.4871774072246641,-0.3511203340635183,0.3511203340635183,yaw_rate_abs_rad_s,0.5,0.3511203340635183,-0.14887966593648172,0.14887966593648172,-29.775933187296346,0.057140580601622575,630.563023644556,2165.58903218851,8.044220197931178,9.314064396126165,0.03459769320332785,,,,,,,,,,,,,2.0,33.86666666666667,3.0,2.0
clean_v_20260702_202330_paper_ppo_turn_right_a20_y05_run04.mp4,right,yaw_rate,0.5,rad/s,30.0,986,986,32.86666666666667,32.833333333333336,,269.2105609870623,986,1.0,2.0,29.866666666666667,circle,0.358261998675863,0.4251609210355175,0.4251609210355175,yaw_rate_abs_rad_s,0.5,0.4251609210355175,-0.0748390789644825,0.0748390789644825,-14.967815792896499,0.021377432381461666,681.9965428596017,1736.1772475080925,6.449142415298965,124.50469715939296,0.4624807314501172,,,,,,,,,,,,,2.0,29.866666666666667,3.0,2.0
clean_v_20260702_202504_paper_ppo_turn_right_a20_y05_run04.mp4,right,yaw_rate,0.5,rad/s,30.0,992,992,33.06666666666667,33.03333333333333,,269.2105609870623,992,1.0,2.0,30.06666666666667,circle,0.36099310211342944,0.4091590280840466,0.4091590280840466,yaw_rate_abs_rad_s,0.5,0.4091590280840466,-0.09084097191595342,0.09084097191595342,-18.168194383190684,0.02299989139061024,667.8342098194032,1710.3303115430226,6.353132303844564,106.23759124331846,0.39462638781256437,,,,,,,,,,,,,2.0,30.06666666666667,3.0,2.0
clean_v_20260702_202853_backward_negfreq_w100_ew08_a20_targetv11_ppo_free_swim_freq_phase_run03.mp4,backward,straight_speed,0.11,m/s,30.0,984,984,32.8,32.766666666666666,,269.2105609870623,984,1.0,2.0,30.799999999999997,straight,,,,straight_speed_m_s,0.11,0.03536318946952115,-0.07463681053047885,0.07463681053047885,-67.85164593679896,,,1179.4201831057217,4.381032373995172,316.8473341674729,1.1769498678125778,0.03536318946952115,linear_fit_of_red_marker_center_in_steady_window,0.03516726615215608,0.1340811206273676,-7.9873418989251075,-5.180300435852936,2.0,2.0,30.799999999999997,30.766666666666666,864,2.0,,,,
clean_v_20260702_203051_backward_negfreq_w100_ew08_a20_targetv11_ppo_free_swim_freq_phase_run03.mp4,backward,straight_speed,0.11,m/s,30.0,642,642,21.4,21.366666666666667,,269.2105609870623,642,1.0,2.0,19.4,straight,,,,straight_speed_m_s,0.11,0.039871858322521,-0.070128141677479,0.070128141677479,-63.75285607043545,,,700.4898060946009,2.6020145848894276,202.5673362471997,0.7524494414501616,0.039871858322521,linear_fit_of_red_marker_center_in_steady_window,0.038237941296940484,0.12069033850386265,-7.513197781787899,-7.666094992770046,2.0,2.0,19.4,19.4,523,2.0,,,,
