timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
5.500000000000000000e+04,2.517973584400000391e+02,2.217572980242000540e+02,2.797346158647000038e+02,5.015356260000000077e+01,5.099869580000000013e+01,4.918519919999999956e+01,5.065115540000000038e+01,5.287628160000000577e+01,5.032397519999999247e+01,4.944031040000000132e+01,5.002858640000000179e+01,5.016408360000000499e+01,4.939598120000000847e+01,3.402820851999999832e+02,3.466111271999999985e+02,2.850883981999999719e+02,3.174381369999999833e+02,3.116649982000000136e+02,2.815265130000000227e+02,3.173848919999999794e+02,2.699106502000000773e+02,3.026718523999999775e+02,3.074665100000000280e+02,2.460392119999999920e+02,3.137467085999999767e+02,3.082036886000000209e+02,2.840872744000000125e+02,3.178005011999999851e+02,2.636185607999999547e+02,2.986398981999999478e+02,2.937880165999999917e+02,2.696782230000000027e+02,2.774288740000000075e+02,3.115015342000000373e+02,3.091406120000000328e+02,3.053215652000000091e+02,3.304144223999999781e+02,3.226397878000000219e+02,3.076193382000000156e+02,2.679737747999999442e+02,3.282644653999999491e+02,3.622075381999999877e+02,2.995818176000000221e+02,2.982317922000000294e+02,2.902900061999999934e+02,3.003818828000000281e+02,2.777929895999999985e+02,2.825656844000000092e+02,2.598508920000000444e+02,3.058077867999999739e+02,2.515796682000000146e+02,3.483948017999999820e+02,3.740136100000000283e+02
6.000000000000000000e+04,2.565456119200000558e+02,2.256615238214000385e+02,2.852983352354000317e+02,4.995515200000000533e+01,5.070634499999999889e+01,4.901118379999999775e+01,5.065567560000000213e+01,5.295111019999999513e+01,5.010798859999999877e+01,4.938748560000000509e+01,5.016613740000000377e+01,5.023782240000000598e+01,4.904826279999999628e+01,3.470384831999999733e+02,3.316979872000000000e+02,2.968619191999999885e+02,3.231433313999999655e+02,3.257072207999999591e+02,2.846376137999999969e+02,3.123278346000000170e+02,2.733533360000000130e+02,3.244342924000000039e+02,3.175084767999999826e+02,2.246301688000000070e+02,3.209664583999999650e+02,3.181343410000000063e+02,2.821669820000000186e+02,3.297952399999999784e+02,2.682332649999999603e+02,2.931640607999999588e+02,3.161948160000000030e+02,2.944729854000000273e+02,2.877357657999999674e+02,3.101122562000000471e+02,3.235218921999999679e+02,3.151127898000000300e+02,3.326118872000000124e+02,3.190777573999999959e+02,3.083408788000000413e+02,2.600638457999999673e+02,3.360699829999999793e+02,3.722735576000000037e+02,3.106773188000000232e+02,3.236505665999999906e+02,2.882025210000000470e+02,2.951375810000000115e+02,2.976201130000000035e+02,2.836118586000000050e+02,2.824952203999999938e+02,3.136825961999999777e+02,2.448811108000000445e+02,3.537023188000000005e+02,3.820028008000000455e+02
6.500000000000000000e+04,2.586383524919999104e+02,2.276972132203000001e+02,2.877045827043999680e+02,4.942584799999999490e+01,5.087155159999999654e+01,4.799725019999999631e+01,5.125007020000000324e+01,5.304500199999999666e+01,4.953882700000000483e+01,4.924502559999999818e+01,5.064857400000000354e+01,4.934599579999999719e+01,4.913356620000000419e+01,3.350348065999999676e+02,3.237545958000000041e+02,2.937269380000000183e+02,3.270612437999999997e+02,3.160201010000000110e+02,2.744615995999999427e+02,3.231995047999999997e+02,2.878637878000000114e+02,3.238170817999999826e+02,3.270193119999999567e+02,2.306870809999999778e+02,3.194695958000000360e+02,3.186093137999999954e+02,3.038681847999999945e+02,3.419736416000000077e+02,2.691334469999999897e+02,3.019587738000000172e+02,3.230097587999999860e+02,3.079527679999999918e+02,2.884161846000000082e+02,3.103529001999999650e+02,3.209123398000000407e+02,3.334820862000000261e+02,3.288918143999999870e+02,3.172316386000000534e+02,3.106963150000000269e+02,2.564378793999999857e+02,3.443149884000000043e+02,3.769942034000000035e+02,3.237851712000000362e+02,3.045156716000000188e+02,2.922919124000000011e+02,2.994613138000000845e+02,3.035645580000000336e+02,2.888338155999999799e+02,2.898853222000000187e+02,2.930546178000000168e+02,2.526188338000000044e+02,3.641023271999999338e+02,3.829504845999999816e+02
7.000000000000000000e+04,2.618491971679999892e+02,2.305869642158999113e+02,2.911971197076000522e+02,4.951672599999999136e+01,5.070577799999999513e+01,4.728845460000000145e+01,5.028201660000000572e+01,5.320106839999999693e+01,4.929367720000000475e+01,4.892485059999999919e+01,5.051775620000000089e+01,4.991796939999999694e+01,4.946592719999999588e+01,3.468790784000000258e+02,3.386970612000000074e+02,2.896746752000000242e+02,3.205501384000000371e+02,3.135202557999999726e+02,2.772179024000000140e+02,3.290089712000000191e+02,2.796246138000000201e+02,3.223730006000000117e+02,3.267814465999999811e+02,2.381829822000000263e+02,3.227651061999999911e+02,3.237688521999999693e+02,3.121868527999999969e+02,3.512974413999999683e+02,2.675035361999999850e+02,3.097725714000000039e+02,3.349891824000000042e+02,3.200906183999999826e+02,2.738001590000000078e+02,3.159750473999999940e+02,3.229080483999999842e+02,3.358802439999999478e+02,3.311920445999999743e+02,3.171695161999999755e+02,2.983431466000000114e+02,2.564289562000000160e+02,3.563086928000000171e+02,3.813207456000000093e+02,3.387045329999999694e+02,2.960163383999999951e+02,2.964247014000000036e+02,3.056412707999999725e+02,3.025732784000000493e+02,3.007757830000000467e+02,3.059679809999999520e+02,3.029052106000000322e+02,2.739153295999999500e+02,3.742671704000000545e+02,3.819431500000000028e+02
7.500000000000000000e+04,2.656076451999999222e+02,2.335961442575999172e+02,2.953739350406998483e+02,4.986171600000000126e+01,5.085703859999999565e+01,4.715518880000000479e+01,5.049422320000000042e+01,5.263028200000000112e+01,4.927135539999999736e+01,4.883109000000000322e+01,5.032767479999999694e+01,5.031444639999999424e+01,4.966235580000000027e+01,3.510180830000000469e+02,3.283944814000000179e+02,2.794607113999999797e+02,3.175108897999999726e+02,3.138245028000000048e+02,2.913070926000000327e+02,3.143493111999999883e+02,3.084474764000000278e+02,3.129286796000000095e+02,3.250895428000000038e+02,2.438969254000000149e+02,3.319785193999999819e+02,3.500651500000000169e+02,3.197419490000000337e+02,3.531722321999999394e+02,2.596818746000000147e+02,3.122395374000000174e+02,3.428345500000000357e+02,3.103077798000000485e+02,2.724982917999999472e+02,3.161384331999999517e+02,3.297475428000000193e+02,3.481612411999999495e+02,3.480368402000000287e+02,3.203552184000000125e+02,3.076386880000000019e+02,2.691187387999999601e+02,3.671166984000000184e+02,3.873553600000000188e+02,3.313164239999999836e+02,3.194425807999999734e+02,3.030656318000000056e+02,3.105190387999999757e+02,3.211289897999999994e+02,2.987889402000000132e+02,3.406388763999999583e+02,2.888896315999999729e+02,2.856045110000000022e+02,3.761593605999999568e+02,3.730065624000000071e+02
8.000000000000000000e+04,2.692897696279999877e+02,2.365972726284999226e+02,2.996307772458998215e+02,4.952580680000000513e+01,5.111242580000000402e+01,4.699693540000000525e+01,5.085918099999999953e+01,5.204396759999999489e+01,4.934291499999999075e+01,4.903292220000000157e+01,5.020351339999999851e+01,4.950321859999999674e+01,4.936990419999999347e+01,3.560466890000000149e+02,3.412564414000000284e+02,2.812447872000000757e+02,3.311299073999999791e+02,2.907581356000000596e+02,3.082846352000000252e+02,3.202647101999999677e+02,3.185592429999999808e+02,3.074717231999999854e+02,3.218207406000000219e+02,2.374004401999999914e+02,3.317630385999999589e+02,3.336201738000000319e+02,3.505713464000000386e+02,3.515944901999999956e+02,2.643103107999999679e+02,3.160514383999999950e+02,3.464619078000000059e+02,3.092854181999999810e+02,2.739627690000000371e+02,3.167590194000000565e+02,3.345068894000000341e+02,3.419348238000000038e+02,3.558424957999999378e+02,3.111114964000000214e+02,3.147636600000000158e+02,2.764066899999999691e+02,3.722300771999999824e+02,3.874696294000000307e+02,3.345684005999999613e+02,3.697333658000000014e+02,3.148443386000000146e+02,3.153797261999999932e+02,3.448858182000000170e+02,2.981992157999999904e+02,3.578057575999999926e+02,2.930417221999999811e+02,2.909719142000000147e+02,3.789093273999999383e+02,3.652749771999999666e+02
8.500000000000000000e+04,2.707864862600000038e+02,2.378930759396999974e+02,3.014054218241999479e+02,5.017137500000000472e+01,5.129957460000000680e+01,4.689833519999999822e+01,5.069365020000000044e+01,5.219473680000000115e+01,4.909753880000000237e+01,4.923922199999999805e+01,5.044667459999999437e+01,4.894179239999999709e+01,4.880857559999999751e+01,3.547563174000000004e+02,3.450079236000000265e+02,2.743887287999999671e+02,3.244481637999999748e+02,2.783125512000000299e+02,2.792077324000000544e+02,3.206552292000000079e+02,3.244665373999999929e+02,3.145917098000000465e+02,3.224628999999999905e+02,2.374552066000000252e+02,3.338722286000000281e+02,3.433569016000000147e+02,3.698687081999999577e+02,3.571522645999999668e+02,2.727357576000000563e+02,3.196506728000000521e+02,3.449136028000000351e+02,3.022973296000000119e+02,2.871650858000000426e+02,3.201478577999999970e+02,3.375847417999999607e+02,3.462021960000000149e+02,3.621244198000000551e+02,3.094843380000000366e+02,3.162392133999999828e+02,2.826512628000000404e+02,3.606457153999999719e+02,3.860405891999999994e+02,3.377781391999999983e+02,3.762218818000000056e+02,3.257172676000000138e+02,3.106015011999999729e+02,3.583771563999999898e+02,3.026567616000000385e+02,3.600865362000000118e+02,2.968475879999999734e+02,3.057977580000000444e+02,3.798975846000000161e+02,3.596647772000000032e+02
9.000000000000000000e+04,2.721733957480000186e+02,2.390769909758000153e+02,3.032388694225999188e+02,5.093808159999999674e+01,5.111515560000000136e+01,4.702666779999999846e+01,5.081376720000000091e+01,5.181564740000000313e+01,4.880018479999999670e+01,4.936051520000000181e+01,5.054313359999999733e+01,4.794765919999999682e+01,4.882813600000000775e+01,3.491269896000000017e+02,3.536673220000000697e+02,2.727389128000000369e+02,3.204133537999999817e+02,2.667895548000000190e+02,2.721777986000000169e+02,3.320975428000000420e+02,3.215036375999999905e+02,3.144022481999999741e+02,3.244870468000000301e+02,2.410397069999999928e+02,3.315793013999999630e+02,3.581593467999999802e+02,3.725684921999999801e+02,3.593606943999999999e+02,2.894265544000000432e+02,3.313063295999999696e+02,3.341171749999999747e+02,2.910876872000000049e+02,2.948797227999999677e+02,3.145696701999999618e+02,3.303685810000000060e+02,3.503604454000000032e+02,3.657661190000000033e+02,3.132516222000000425e+02,3.152728399999999738e+02,2.799077217999999334e+02,3.660154473999999709e+02,3.873097850000000335e+02,3.563307388000000060e+02,3.713437047999999550e+02,3.273386476000000016e+02,3.208695387999999866e+02,3.493329780000000255e+02,2.989683162000000038e+02,3.621100011999999992e+02,2.975603092000000061e+02,3.108876131999999757e+02,3.847570681999999351e+02,3.782302731999999423e+02
9.500000000000000000e+04,2.742049034519999964e+02,2.409172306221000497e+02,3.056113445286000569e+02,5.110761219999999838e+01,5.083942960000000255e+01,4.712646759999999801e+01,5.046941980000000427e+01,5.250219020000000825e+01,4.840990099999999785e+01,4.915754439999999903e+01,5.063289720000000216e+01,4.782623639999999199e+01,4.899732180000000170e+01,3.479405023999999571e+02,3.637264067999999497e+02,2.560217618000000357e+02,3.138350309999999581e+02,2.723681878000000438e+02,2.963358594000000039e+02,3.419443618000000242e+02,3.305450867999999787e+02,3.063445174000000293e+02,3.235487057999999934e+02,2.555868048000000385e+02,3.358586156000000074e+02,3.617621411999999737e+02,3.632674866000000407e+02,3.634629077999999822e+02,2.902182270000000130e+02,3.382984993999999688e+02,3.312454650000000242e+02,2.976780276000000072e+02,3.037718515999999909e+02,3.167429214000000002e+02,3.359816219999999589e+02,3.474693128000000115e+02,3.656103391999999985e+02,3.081289762000000110e+02,3.127938955999999848e+02,2.910055446000000074e+02,3.695792389999999727e+02,3.868363155999999776e+02,3.645534326000000078e+02,3.773971250000000168e+02,3.223731882000000155e+02,3.412777406000000155e+02,3.528226682000000096e+02,2.811191503999999668e+02,3.657680102000000488e+02,3.010995848000000024e+02,3.089224962000000119e+02,3.863755542000000105e+02,3.835585879999999861e+02
1.000000000000000000e+05,2.764009924599999977e+02,2.424711246230999961e+02,3.080845074394999870e+02,5.056208080000000393e+01,5.076120659999999418e+01,4.692289240000000206e+01,5.101062600000000202e+01,5.275336579999999742e+01,4.819416900000000226e+01,4.915849880000000383e+01,5.081089419999999279e+01,4.656386959999999675e+01,4.924503899999999845e+01,3.518551816000000372e+02,3.653406102000000146e+02,2.423046042000000000e+02,3.208396142000000282e+02,2.846129720000000134e+02,3.146435989999999947e+02,3.340854530000000295e+02,3.471988904000000389e+02,3.277882719999999495e+02,3.249847121999999899e+02,2.596392280000000028e+02,3.272358947999999828e+02,3.755479733999999894e+02,3.627433626000000118e+02,3.620505082000000243e+02,3.199837260000000470e+02,3.328153487999999811e+02,3.358918297999999822e+02,2.969054296000000477e+02,3.225764717999999789e+02,3.349121849999999654e+02,3.406747113999999783e+02,3.441029980000000137e+02,3.688482606000000033e+02,3.127021215999999413e+02,3.186601913999999738e+02,2.916340600000000336e+02,3.760275932000000125e+02,3.866518532000000050e+02,3.677881922000000259e+02,3.725886012000000278e+02,3.189868804000000182e+02,3.473077071999999816e+02,3.418423612000000276e+02,2.601508313999999586e+02,3.658054079999999999e+02,3.032605406000000130e+02,2.944707468000000290e+02,3.845600892000000499e+02,3.840479664000000639e+02
