x_fit,y_fit
-7.617610186854579801e-01,3.925065186308425158e-01
-7.597336331845598867e-01,3.726335948017955313e-01
-7.567294187584978626e-01,3.528847191586965693e-01
-7.527556749500953215e-01,3.333078768793723001e-01
-7.478220570332385631e-01,3.139506351405598195e-01
-7.419405525528063317e-01,2.948600275407213811e-01
-7.351254521977208523e-01,2.760824398193321150e-01
-7.273933150778961743e-01,2.576634971503137805e-01
-7.187629284894490045e-01,2.396479532834663306e-01
-7.092552622659356043e-01,2.220795818032574032e-01
-6.988934178265308050e-01,2.050010697691857231e-01
-6.877025720449475577e-01,1.884539139961480536e-01
-6.757099160754860279e-01,1.724783202268231896e-01
-6.629445892848480071e-01,1.571131054410619399e-01
-6.494376084502487823e-01,1.423956035396479747e-01
-6.352217923958568546e-01,1.283615746315959205e-01
-6.203316822506790285e-01,1.150451181453974181e-01
-6.048034575216447717e-01,1.024785899753353768e-01
-5.886748481858135040e-01,9.069252386418136247e-02
-5.719850430152993992e-01,7.971555721329670607e-02
-5.547745943576627425e-01,6.957436150040319234e-02
-5.370853196031313281e-01,6.029357747409108681e-02
-5.189601995780602772e-01,5.189575528252721170e-02
-5.004432741115143468e-01,4.440129968183570419e-02
-4.815795350287184751e-01,3.782842045728307401e-02
-4.624148168313796381e-01,3.219308817773236520e-02
-4.429956853305003217e-01,2.750899539087281465e-02
-4.233693245022803198e-01,2.378752335351097535e-02
-4.035834218420212838e-01,2.103771437776214004e-02
-3.836860524945963080e-01,1.926624986033353970e-02
-3.637255624430216217e-01,1.847743404828305902e-02
-3.437504510389539636e-01,1.867318358069924855e-02
-3.238092531605385460e-01,1.985302283171402893e-02
-3.039504212839352904e-01,2.201408506616286953e-02
-2.842222077550633497e-01,2.515111940508468757e-02
-2.646725475476138234e-01,2.925650358413794949e-02
-2.453489417922068982e-01,3.432026247393088481e-02
-2.262983423596826860e-01,4.033009231726780719e-02
-2.075670377789683996e-01,4.727139062441942929e-02
-1.892005407667109451e-01,5.512729165377905360e-02
-1.712434776419536619e-01,6.387870739169465573e-02
-1.537394798945528052e-01,7.350437393190578650e-02
-1.367310781707980760e-01,8.398090314189382566e-02
-1.202595989338269278e-01,9.528283949060772917e-02
-1.043650640499240168e-01,1.073827218994888311e-01
-8.908609354468827179e-02,1.202511504665085829e-01
-7.445981176534627322e-02,1.338568579010980253e-01
-6.052175717721702819e-02,1.481667854963965025e-01
-4.730579601350098917e-02,1.631461634542258343e-01
-3.484403998820451154e-02,1.787585953676191497e-01
-2.316676827213814960e-02,1.949661466556302791e-01
-1.230235392156880936e-02,2.117294367355488649e-01
-2.277194938287596671e-03,2.290077347085637816e-01
6.884349871398964815e-03,2.467590583263805648e-01
1.516002008290734393e-02,2.649402759983272571e-01
2.252970774103474350e-02,2.835072115910953761e-01
2.897550621761668665e-02,3.024147517664764195e-01
3.448175372047190823e-02,3.216169555962886673e-01
3.903507134791706079e-02,3.410671661881550243e-01
4.262439559638847575e-02,3.607181240509079734e-01
4.524100524218427344e-02,3.805220819241682539e-01
4.687854253201134691e-02,4.004309207930922820e-01
4.753302863084785113e-02,4.203962668063920272e-01
4.720287328958749917e-02,4.403696088135522491e-01
4.588887870897584431e-02,4.603024162356511018e-01
4.359423759044828151e-02,4.801462569833873095e-01
4.032452537860786723e-02,4.998529151358011013e-01
3.608768671419093632e-02,5.193745080937555159e-01
3.089401613043618600e-02,5.386636029235238876e-01
2.475613303976198498e-02,5.576733316077941982e-01
1.768895107152679280e-02,5.763575049240585724e-01
9.709641835376259245e-03,5.946707246736885333e-01
8.375931982224638084e-04,6.125684939890063685e-01
-8.905637823766077155e-03,6.300073254503317788e-01
-1.949637744370408265e-02,6.469448467503046141e-01
-3.090889262578888630e-02,6.633399036487431788e-01
-4.311545361059704318e-02,6.791526599678834319e-01
-5.608640129195463508e-02,6.943446943850324349e-01
-6.979021928167206124e-02,7.088790937874519527e-01
-8.419361048704226969e-02,7.227205429626437638e-01
-9.926157801503732170e-02,7.358354104061082257e-01
-1.149575102066244248e-01,7.481918300380829834e-01
-1.312432695945884298e-01,7.597597786307115353e-01
-1.480792855687130261e-01,7.705111487575082574e-01
-1.654246505231670161e-01,7.804198170878720031e-01
-1.832372192524781562e-01,7.894617078607086835e-01
-2.014737113545886360e-01,7.976148513829346420e-01
-2.200898163921711781e-01,8.048594374107245208e-01
-2.390403015566941736e-01,8.111778632837999270e-01
-2.582791215736334189e-01,8.165547766958023423e-01
-2.777595305817874838e-01,8.209771129968297387e-01
