x_fit,y_fit
-3.461850522958556664e-01,2.255870792787293411e-01
-3.307364198119300269e-01,2.148506096501334728e-01
-3.144879834669236929e-01,2.053679759415355244e-01
-2.975412829302706008e-01,1.971984369930903092e-01
-2.800022214614577010e-01,1.903930458579436991e-01
-2.619804040997568140e-01,1.849943307616768173e-01
-2.435884527208159178e-01,1.810360293350751770e-01
-2.249413022404392615e-01,1.785428777810473544e-01
-2.061554823637296030e-01,1.775304562932359942e-01
-1.873483893680779055e-01,1.780050916923281157e-01
-1.686375524707737217e-01,1.799638178885103468e-01
-1.501398993658435987e-01,1.833943944171467499e-01
-1.319710255199350590e-01,1.882753829318457028e-01
-1.142444717935426207e-01,1.945762811768965705e-01
-9.707101490187529380e-02,2.022577136018552102e-01
-8.055797514940998827e-02,2.112716774270911591e-01
-6.480854576423492053e-02,2.215618426225831328e-01
-4.992114802330047119e-02,2.330639039253402101e-01
-3.598881619853666614e-02,2.457059826956151383e-01
-2.309861616741590296e-02,2.594090761006407342e-01
-1.133110132118803071e-02,2.740875508188452825e-01
-7.598091709203058652e-04,2.896496781792947672e-01
8.549198202849522810e-03,3.059982073921698187e-01
1.653774698502899487e-02,3.230309732880512485e-01
2.315591516556217422e-02,3.406415347681216454e-01
2.836234451187574779e-02,3.587198399754967792e-01
3.212449902459527107e-02,3.771529140308893524e-01
3.441886826139448075e-02,3.958255650348146415e-01
3.523111425836611410e-02,4.146211039243898333e-01
3.455616113077397689e-02,4.334220736862057222e-01
3.239822679325324306e-02,4.521109833682634971e-01
2.877079660123380012e-02,4.705710423040087020e-01
2.369653907830593376e-02,4.886868899601404248e-01
1.720716425616514167e-02,5.063453168472367150e-01
9.343225512397274057e-03,5.234359719880848916e-01
1.538661444573097281e-04,5.398520525226100375e-01
-1.030348773644476634e-02,5.554909711399167449e-01
-2.196348607239112516e-02,5.702549971665428208e-01
-3.475326324410032974e-02,5.840518673046281029e-01
-4.859289342249098476e-02,5.967953622033810301e-01
-6.339589004088214130e-02,6.084058452607317147e-01
-7.906974626653447136e-02,6.188107602880994484e-01
-9.551651309400974177e-02,6.279450849282587344e-01
-1.126334114477427345e-01,6.357517369928210593e-01
-1.303134744686664792e-01,6.421819311800386343e-01
-1.484462159711199269e-01,6.471954839437347173e-01
-1.669183208927172424e-01,6.507610646081749550e-01
-1.856143534224280189e-01,6.528563911596125813e-01
-2.044174783816233576e-01,6.534683694909670937e-01
-2.232101913500536272e-01,6.525931752294713561e-01
-2.418750529740440469e-01,6.502362776359278396e-01
-2.602954228680774973e-01,6.464124054262236907e-01
-2.783561885234675515e-01,6.411454547286935535e-01
-2.959444846690331699e-01,6.344683397525197055e-01
-3.129503985883367312e-01,6.264227871003771320e-01
-3.292676569858362101e-01,6.170590750106983435e-01
-3.447942901095769064e-01,6.064357191590891150e-01
-3.594332689801953973e-01,5.946191069823800746e-01
-3.730931117440650091e-01,5.816830828104979645e-01
