timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
5.500000000000000000e+04,-1.443279200000000060e+02,-1.749726411999999698e+02,-1.075041707999999971e+02,-7.992931099999999844e+01,-1.676146899999999960e+02,-1.570688979999999901e+02,-1.301182310000000086e+02,-1.869084699999999941e+02
6.000000000000000000e+04,-1.298846482000000151e+02,-1.465687982000000034e+02,-1.082019719999999978e+02,-9.179954899999999895e+01,-1.392300250000000119e+02,-1.438970380000000091e+02,-1.217141749999999973e+02,-1.527824540000000013e+02
6.500000000000000000e+04,-1.084240129999999880e+02,-1.271740375999999912e+02,-8.664618719999999996e+01,-7.363911500000000387e+01,-1.190672039999999896e+02,-1.145989380000000040e+02,-1.415684210000000007e+02,-9.324638699999999858e+01
7.000000000000000000e+04,-1.036896729999999991e+02,-1.314772978000000023e+02,-7.465585599999999999e+01,-6.204547300000000121e+01,-1.485340630000000033e+02,-1.058921499999999867e+02,-1.303285869999999989e+02,-7.164809200000000544e+01
7.500000000000000000e+04,-1.252584212000000008e+02,-1.512594507999999962e+02,-9.756661059999998997e+01,-7.312960599999999545e+01,-1.626176729999999964e+02,-1.221005920000000060e+02,-1.176613150000000161e+02,-1.507829199999999901e+02
8.000000000000000000e+04,-1.198471689999999796e+02,-1.491437072000000228e+02,-8.416224520000000098e+01,-5.593674599999999231e+01,-1.652182050000000118e+02,-1.280169730000000072e+02,-1.250799059999999798e+02,-1.249840149999999994e+02
8.500000000000000000e+04,-1.058502739999999847e+02,-1.443494134499999859e+02,-6.901404060000000129e+01,-4.496353299999999820e+01,-1.733157359999999869e+02,-1.007924969999999973e+02,-9.711114100000000349e+01,-1.130684629999999942e+02
9.000000000000000000e+04,-1.103223301999999819e+02,-1.362482746600000212e+02,-7.685473199999999849e+01,-5.526670900000000586e+01,-1.525218370000000050e+02,-9.305038899999999558e+01,-1.253495719999999949e+02,-1.254231440000000077e+02
9.500000000000000000e+04,-1.134675689999999975e+02,-1.393398366000000124e+02,-8.177014972000007731e+01,-5.137749800000000278e+01,-1.327441389999999899e+02,-1.035973780000000062e+02,-1.280267550000000085e+02,-1.515920749999999941e+02
1.000000000000000000e+05,-1.131074557999999968e+02,-1.490751170000000059e+02,-7.738127980000000150e+01,-6.005738499999999647e+01,-1.719710120000000018e+02,-8.278569000000000244e+01,-1.040463330000000042e+02,-1.466768590000000074e+02
1.050000000000000000e+05,-7.962394179999999722e+01,-1.142186145999999951e+02,-5.951701740000000029e+01,-5.856291499999999672e+01,-1.474348530000000039e+02,-7.022559900000000255e+01,-5.636146800000000212e+01,-6.553487400000000207e+01
1.100000000000000000e+05,-8.158006939999998508e+01,-9.917755615999999463e+01,-6.465253260000000068e+01,-5.516114300000000270e+01,-7.330709899999999379e+01,-6.632617899999999622e+01,-1.048817909999999927e+02,-1.082241350000000040e+02
1.150000000000000000e+05,-8.223864899999999523e+01,-1.001023945999999967e+02,-6.437490339999999378e+01,-6.190804200000000179e+01,-1.039234750000000105e+02,-5.694236300000000028e+01,-8.417370699999999317e+01,-1.042456580000000059e+02
1.200000000000000000e+05,-7.675556520000000660e+01,-1.047779682000000037e+02,-5.219873460000000165e+01,-5.623445500000000408e+01,-1.219699970000000064e+02,-4.469678400000000096e+01,-5.913119500000000528e+01,-1.017453950000000020e+02
1.250000000000000000e+05,-5.863198079999999379e+01,-7.141544120000000362e+01,-4.584852039999999818e+01,-4.304976200000000119e+01,-7.231383099999999331e+01,-3.907274400000000014e+01,-6.499759000000000242e+01,-7.372597700000000032e+01
1.300000000000000000e+05,-6.571009399999999800e+01,-8.314330979999999727e+01,-4.879730419999999924e+01,-4.101193099999999703e+01,-9.889634499999999662e+01,-5.398755300000000545e+01,-7.801558300000000656e+01,-5.663905799999999857e+01
