timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
6.000000000000000000e+04,-1.192742213999999876e+02,-1.442362952000000007e+02,-9.587705980000001205e+01,-1.212723450000000014e+02,-1.221462819999999994e+02,-1.017092920000000049e+02,-1.660666129999999896e+02,-8.517657499999999970e+01
6.500000000000000000e+04,-1.127025463999999886e+02,-1.365258649999999818e+02,-9.066503671000003806e+01,-9.197405999999999437e+01,-1.203902740000000051e+02,-1.167561249999999973e+02,-1.579663799999999867e+02,-7.642589300000000208e+01
7.000000000000000000e+04,-1.002058782000000008e+02,-1.192705451999999866e+02,-8.137363500000000727e+01,-9.377124600000000498e+01,-1.064949509999999862e+02,-9.655306199999999706e+01,-1.353428059999999959e+02,-6.886732600000000559e+01
7.500000000000000000e+04,-1.094457586000000049e+02,-1.218284579999999977e+02,-8.827249300000001142e+01,-1.239016180000000134e+02,-1.163067520000000030e+02,-1.153729110000000020e+02,-1.220645250000000033e+02,-6.958298700000000281e+01
8.000000000000000000e+04,-1.161166639999999859e+02,-1.374587673999999993e+02,-8.499800299999999709e+01,-1.194629179999999877e+02,-1.440974139999999863e+02,-1.146525450000000035e+02,-1.403490500000000054e+02,-6.202139300000000333e+01
8.500000000000000000e+04,-1.254779127999999844e+02,-1.538840625999999929e+02,-8.764630700000000729e+01,-1.525591550000000041e+02,-1.513751949999999908e+02,-1.067635549999999967e+02,-1.570553840000000037e+02,-5.963627499999999770e+01
9.000000000000000000e+04,-1.156686222000000299e+02,-1.334835648950000007e+02,-8.519457940000000917e+01,-1.208987659999999948e+02,-1.363368059999999957e+02,-1.275661090000000115e+02,-1.365945370000000025e+02,-5.694689300000000287e+01
9.500000000000000000e+04,-1.134624292000000025e+02,-1.366369371750000141e+02,-7.615129820000001359e+01,-1.168297250000000105e+02,-1.416295220000000086e+02,-1.217093150000000179e+02,-1.413642969999999934e+02,-4.577928699999999651e+01
1.000000000000000000e+05,-9.458398780000000272e+01,-1.184495175450000062e+02,-6.865108619999999462e+01,-9.281006700000000365e+01,-1.355408119999999883e+02,-9.808136000000000365e+01,-9.620766899999999566e+01,-5.028003100000000103e+01
1.050000000000000000e+05,-9.055824399999998775e+01,-1.134320747999999810e+02,-6.551277840000000197e+01,-6.370066200000000123e+01,-1.284127019999999959e+02,-1.053357660000000067e+02,-1.024996020000000101e+02,-5.284248800000000301e+01
1.100000000000000000e+05,-9.067959920000001262e+01,-1.158339682350000004e+02,-6.322752239999999802e+01,-6.211462000000000216e+01,-1.380402090000000044e+02,-1.022880980000000051e+02,-1.003767710000000051e+02,-5.057829799999999665e+01
