frame,time_s,point,x,y,area
6,0.2,5,589.375,210.875,32
6,0.2,6,570.2608695652174,220.02173913043478,46
7,0.23333333333333334,0,678.8307692307692,222.95384615384614,65
7,0.23333333333333334,1,668.1219512195122,205.0731707317073,41
7,0.23333333333333334,2,647.5,197.5,36
7,0.23333333333333334,3,627.2558139534884,200.30232558139534,43
7,0.23333333333333334,4,608.1923076923077,204.75,52
7,0.23333333333333334,5,588.0833333333334,212.08333333333334,24
7,0.23333333333333334,6,568.5,219.9,40
8,0.26666666666666666,0,680.276923076923,221.96923076923076,65
8,0.26666666666666666,1,668.2619047619048,204.33333333333334,42
8,0.26666666666666666,2,646.1395348837209,199.37209302325581,43
8,0.26666666666666666,3,626.2692307692307,202.73076923076923,52
8,0.26666666666666666,4,606.5471698113207,207.8679245283019,53
8,0.26666666666666666,5,587.7241379310345,213.72413793103448,29
8,0.26666666666666666,6,567.0909090909091,219.9090909090909,44
9,0.3,0,681.5820895522388,219.5820895522388,67
9,0.3,1,667.6842105263158,203.5,38
9,0.3,2,645.0909090909091,200.77272727272728,44
9,0.3,3,625.4594594594595,206.1081081081081,37
9,0.3,4,606.3928571428571,210.51785714285714,56
9,0.3,5,586.75,215.67857142857142,28
9,0.3,6,565.7446808510638,219.95744680851064,47
10,0.3333333333333333,0,683.24,217.88,75
10,0.3333333333333333,1,667.0243902439024,203.53658536585365,41
10,0.3333333333333333,2,644.5,202.1818181818182,44
10,0.3333333333333333,3,625.1521739130435,208.41304347826087,46
10,0.3333333333333333,4,605.4313725490196,212.9607843137255,51
10,0.3333333333333333,5,585.9333333333333,217.5,30
10,0.3333333333333333,6,564.7045454545455,218.70454545454547,44
11,0.36666666666666664,0,684.469696969697,214.95454545454547,66
11,0.36666666666666664,1,666.0714285714286,203.42857142857142,42
11,0.36666666666666664,2,643.4761904761905,204.54761904761904,42
11,0.36666666666666664,3,624.1842105263158,211.6315789473684,38
11,0.36666666666666664,4,604.5,215.92307692307693,52
11,0.36666666666666664,5,585.1666666666666,218.04166666666666,24
11,0.36666666666666664,6,563.7567567567568,217.56756756756758,37
12,0.4,0,684.5555555555555,212.33333333333334,54
12,0.4,1,664.3207547169811,203.88679245283018,53
12,0.4,2,642.3469387755102,207.79591836734693,49
12,0.4,3,623.8333333333334,214.88888888888889,36
12,0.4,4,603.9591836734694,218.3673469387755,49
12,0.4,5,583.8095238095239,218.66666666666666,21
12,0.4,6,563.4242424242424,216.06060606060606,33
13,0.43333333333333335,0,684.8235294117648,210.1764705882353,51
13,0.43333333333333335,1,662.4137931034483,204.60344827586206,58
13,0.43333333333333335,2,641.4130434782609,210.34782608695653,46
13,0.43333333333333335,3,623.4285714285714,217.57142857142858,35
13,0.43333333333333335,4,602.7692307692307,220.42307692307693,52
13,0.43333333333333335,5,583.1,220.3,20
13,0.43333333333333335,6,562.0714285714286,215.42857142857142,42
14,0.4666666666666667,0,684.1896551724138,208.41379310344828,58
14,0.4666666666666667,1,661.7241379310345,205.74137931034483,58
14,0.4666666666666667,2,640.4821428571429,212.82142857142858,56
14,0.4666666666666667,3,623.1538461538462,220.4102564102564,39
14,0.4666666666666667,4,602.2777777777778,222.62962962962962,54
14,0.4666666666666667,5,582.3571428571429,220.71428571428572,14
14,0.4666666666666667,6,562.0526315789474,215.1315789473684,38
15,0.5,0,683.1698113207547,206.54716981132074,53
15,0.5,1,660.5535714285714,206.58928571428572,56
15,0.5,2,640.25,215.04166666666666,48
15,0.5,3,621.8333333333334,223.61111111111111,36
15,0.5,4,602.0,223.66666666666666,45
15,0.5,5,582.421052631579,222.10526315789474,19
15,0.5,6,561.6666666666666,214.16666666666666,48
16,0.5333333333333333,0,682.5454545454545,205.0,44
16,0.5333333333333333,1,660.3148148148148,208.27777777777777,54
